label,t-SNE1,t-SNE2
1,1.7023318,0.7282226
1,-13.819117,-0.9068051
1,-15.607951,12.512617
1,11.67761,-6.431601
1,0.42275319,-6.3145375
1,-3.119772,0.6352156
1,12.8481865,-6.541298
1,-17.423277,4.825146
1,-1.1726123,7.5993237
1,-9.149591,-0.552586
1,-12.437658,-0.27693185
1,-15.281844,2.6842704
1,-14.8491125,2.0995648
1,-7.896322,9.242118
1,-8.335773,-8.077346
1,9.990985,-5.451203
1,-14.547003,-0.98470664
1,13.374837,-6.621377
1,5.754529,5.670398
1,-0.25441447,6.7334785
1,-10.724047,-1.3785044
1,1.594458,10.670017
1,-5.3207903,-0.04270767
1,-12.974594,-3.4586773
1,-11.986778,1.0016569
1,0.24953799,7.2084293
1,-11.532279,7.5093765
1,-11.606447,7.789205
1,-3.024615,-1.6687059
1,-0.25441447,6.7334785
1,-13.650933,2.3541868
1,-9.545977,-0.40065843
1,-15.385276,-3.555167
1,-0.19707024,5.3575616
1,10.787914,-0.39066806
1,-7.497852,12.293493
1,8.649371,-14.354979
1,-13.893895,4.6402855
1,-8.665318,1.6147135
1,-0.68891644,7.6107664
1,-5.2976074,6.8089805
1,17.117357,2.39906
1,-11.663741,-3.869088
1,-15.636175,8.229811
1,4.4580464,-3.078137
1,-11.785033,10.691255
1,7.3084526,-15.684876
1,1.7566328,0.70149714
1,-10.452785,4.5193706
1,-3.0984359,8.636788
1,-16.591864,13.108975
1,-5.2703056,3.5174477
1,-11.344489,-0.5776898
1,0.63931555,-4.3322134
1,-3.1012428,0.637544
1,-15.73599,11.495297
1,13.855859,-6.891831
1,9.188086,8.452372
1,16.25873,-3.098447
1,-11.34926,-3.8908992
1,-13.800282,0.022103755
1,6.4630632,-12.542173
1,-6.522218,3.1387382
1,6.7072406,-0.2171185
1,-15.220885,4.630093
1,-3.2942204,-1.4797046
1,-12.055315,2.117453
1,-14.7342005,0.22180983
1,0.38551673,10.321525
1,3.7072673,-3.6290922
1,5.0970693,-10.300506
1,-11.278714,10.973592
1,-6.184131,0.32753468
1,-18.897594,6.9893527
1,-15.224711,1.403569
1,-6.8088045,0.0065261093
1,-14.378381,1.1492049
1,8.530655,-8.663394
1,-2.8847134,6.2087703
1,-19.112879,9.730471
1,10.222742,-11.038663
1,7.560683,-14.519518
