label,t-SNE1,t-SNE2
0,46.484135,-14.875078
0,79.31279,26.113073
0,47.337185,-14.934597
0,-0.35307017,-24.789932
0,12.609395,10.60618
0,20.927395,-24.368523
0,-17.541702,-42.976524
0,9.899246,4.542907
0,-26.891865,-41.10734
0,12.76803,-45.68737
0,-24.02493,-38.213055
0,-24.37409,-43.318325
0,10.604752,4.6021442
0,-9.0402155,-32.293213
0,17.118921,-13.367736
0,25.318975,-9.026729
0,-8.369766,-29.64525
0,12.667699,11.823636
0,11.081962,-38.60706
0,82.382164,24.2421
0,-26.692793,-41.566593
0,81.919876,25.36456
0,-27.032846,-39.194847
0,-7.2165413,-28.6575
0,16.251461,-10.411342
0,-24.79986,-43.265022
0,-16.448421,-43.004772
0,1.4182091,-12.795481
0,30.365496,10.359704
0,24.213287,-5.67571
0,82.86093,23.275608
0,-6.888608,-31.719297
0,-15.042151,-41.958004
0,47.086678,-14.1850195
0,4.087366,-23.225077
0,-9.004185,-32.227425
0,80.15683,26.560545
0,38.42922,20.077488
0,45.45657,-14.238477
0,10.813965,-18.472837
0,-24.900198,-43.336823
0,31.354197,14.024732
0,49.31219,-16.266422
0,-5.400269,-28.036198
0,-1.198142,-24.41199
0,-14.876961,-43.988415
0,6.1249127,-35.727695
0,12.853204,11.763898
0,-24.937489,-42.649292
0,12.827309,-45.8535
0,5.583551,-42.997303
0,-0.88920575,-25.657774
0,-19.792969,-31.835375
0,-26.86249,-40.822212
0,-15.468843,76.13839
0,10.402503,4.3596063
0,-15.126111,-34.563328
0,0.9645821,-23.405537
0,48.775627,-13.347223
0,83.52817,22.157894
0,84.38785,21.393469
0,-16.495136,-44.304623
0,21.011612,-24.281103
0,0.8594422,-15.135907
0,83.02037,27.612213
0,-17.087118,-31.518738
0,83.64235,26.678387
0,10.959366,-18.384974
0,1.8686868,-18.994492
0,85.28269,19.288485
0,-6.6801777,-30.492577
0,-14.35054,-28.07664
0,-21.397276,-35.202854
0,-15.718649,-41.422585
0,11.239037,13.138437
0,85.37179,19.5087
0,27.405193,3.2864482
0,80.69209,28.3683
0,86.50736,21.282171
0,36.067642,-48.912743
0,27.027206,-14.170099
0,10.351009,11.39947
0,-3.582297,-27.142872
0,14.882607,10.532213
0,-17.459291,-35.72761
0,-22.8841,-38.0241
0,-17.03909,-43.251755
0,80.71249,29.437
0,9.784026,6.5576334
0,-17.37429,-24.934477
0,-14.393508,-43.921925
0,40.880917,25.849813
0,10.347946,11.171326
0,-3.1195369,-26.774061
0,-25.837624,-45.087265
0,-4.0623727,-28.837154
0,-5.4087124,-27.396816
0,7.099203,-41.549038
0,24.998676,-3.78503
0,85.6426,22.42806
0,85.72593,20.018263
0,11.303066,9.150107
0,-20.935469,-34.177822
0,-5.1715016,-24.084938
0,0.025707379,-25.22004
0,10.361786,6.2151103
0,-26.755077,-39.586514
0,-14.878772,-43.943153
0,-13.723174,-42.480465
0,37.24922,-48.37282
0,-5.3730564,-27.607939
0,-5.4712906,-24.970713
0,12.474188,-8.330609
0,27.399946,3.2793374
0,-6.964888,-32.82689
0,-15.116781,-44.16493
0,-14.117987,-18.516499
0,11.271585,9.130834
0,-22.470282,-31.104677
0,8.102367,0.04761255
0,84.82955,19.4026
0,17.365673,-9.478891
0,-20.551495,-32.645287
0,47.963413,-15.289683
0,-27.080534,-38.911583
0,3.2054465,-22.247507
0,10.146243,11.064624
0,20.538927,-24.519386
0,-15.589863,-43.646988
0,27.215324,-20.320734
0,-2.9431581,-28.277363
0,2.4220223,-12.962655
0,-8.95102,-30.352938
0,-17.271214,-43.529373
0,-6.096196,-29.19271
0,-15.474793,-29.488342
0,-36.02209,-30.187222
0,6.6828647,-35.95193
0,9.8049345,5.4000216
0,1.8815958,-13.730771
0,12.543406,-44.04618
0,11.108975,-7.0780845
0,-15.11824,-34.548058
0,4.187203,-23.137827
0,85.190796,20.60012
0,13.935302,-9.883882
0,6.5007634,-21.875744
0,-9.35767,-30.83513
0,-16.416662,-44.03854
0,12.050973,-13.504668
0,-16.119867,-45.18659
0,-25.181492,-40.4796
0,20.795195,-20.575613
0,20.773285,-20.568071
0,20.855364,-20.568
0,20.882925,-20.585705
0,19.880209,-19.959578
0,-29.289427,-37.33626
0,17.919172,3.657864
0,20.67855,-20.50335
0,17.071623,-7.719782
0,17.130566,-7.762411
0,11.13019,-38.55234
0,45.399734,-9.776518
0,17.176281,-8.750808
0,17.176098,-8.257698
0,45.60148,-3.149774
0,45.653927,-3.175576
0,9.62156,-27.737682
0,26.94321,-40.093544
0,17.056805,-7.698226
0,47.6358,-41.3252
0,-5.8378224,-17.045532
0,45.59003,-3.140511
0,55.54315,-34.848576
0,27.0431,-39.748043
0,4.6387424,-13.328955
0,-14.565771,-22.47688
0,-14.618282,-22.586857
0,-23.441412,-35.381626
0,16.232819,-11.344897
0,16.222223,-11.323527
0,-1.4849966,-21.712353
0,12.509326,-44.05334
0,11.246208,-45.18948
0,12.627152,-43.15388
0,-26.679916,-37.01426
0,-29.994963,-42.340607
0,-9.597889,-23.939058
0,21.02002,-20.605606
0,26.929138,-40.051727
0,-30.390772,-37.594788
0,8.831604,0.6294983
0,-0.26721632,-13.204197
0,17.905083,3.6810272
0,24.050928,-22.121368
0,-14.567407,-18.056883
0,-14.487656,-20.09209
0,-13.810319,-22.805143
0,-27.82808,-43.056927
0,-27.834461,-42.98883
0,-1.1527193,-22.78462
0,-27.25535,-42.605114
0,26.943096,-40.112453
0,45.614597,-3.1298456
0,45.295513,3.848124
0,8.959245,2.1644356
0,8.984434,2.328421
0,45.2671,3.8873024
0,-5.7682347,-16.998112
0,-30.063549,-39.35191
0,-5.762059,-16.994423
